# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# count	lemma	cap_ratio	reason
5295	river	0.958	cap_ratio=0.96, oov
5274	hastings	1.000	cap_ratio=1.00, oov
5267	rudy	1.000	cap_ratio=1.00, oov
5262	jr	0.996	cap_ratio=1.00, oov
5256	ellis	1.000	cap_ratio=1.00, oov
5243	dixon	1.000	cap_ratio=1.00, oov
5243	silver	0.984	cap_ratio=0.98, oov
5226	melanie	0.995	cap_ratio=0.99, oov
5214	drew	0.998	cap_ratio=1.00, oov
5213	boyd	1.000	cap_ratio=1.00, oov
5212	claudia	0.994	cap_ratio=0.99, oov
5205	jasper	0.998	cap_ratio=1.00, oov
5203	hills	0.986	cap_ratio=0.99, oov
5199	pope	0.993	cap_ratio=0.99, oov
5172	vaughn	1.000	cap_ratio=1.00, oov
5170	oz	0.994	cap_ratio=0.99, oov
5160	nolan	0.999	cap_ratio=1.00, oov
5146	iris	0.976	cap_ratio=0.98, oov
5145	rodney	1.000	cap_ratio=1.00, oov
5141	elvis	0.993	cap_ratio=0.99, oov
5138	connie	0.998	cap_ratio=1.00, oov
5127	shawn	0.998	cap_ratio=1.00, oov
5126	drª	1.000	cap_ratio=1.00, oov
5121	bree	1.000	cap_ratio=1.00, oov
5113	kathy	1.000	cap_ratio=1.00, oov
5113	valley	0.995	cap_ratio=1.00, oov
5094	liv	0.988	cap_ratio=0.99, oov
5086	donovan	1.000	cap_ratio=1.00, oov
5078	sophia	1.000	cap_ratio=1.00, oov
5074	springfield	0.999	cap_ratio=1.00, oov
5069	gandalf	0.994	cap_ratio=0.99, oov
5067	jared	0.996	cap_ratio=1.00, oov
5063	milo	0.997	cap_ratio=1.00, oov
5057	june	0.999	cap_ratio=1.00, oov
5047	simmons	1.000	cap_ratio=1.00, oov
5040	viktor	0.999	cap_ratio=1.00, oov
5034	world	0.905	cap_ratio=0.90, oov
5020	leslie	0.993	cap_ratio=0.99, oov
4987	eugene	1.000	cap_ratio=1.00, oov
4983	pan	0.968	cap_ratio=0.97, oov
4968	devon	0.999	cap_ratio=1.00, oov
4944	austin	0.997	cap_ratio=1.00, oov
4942	kitt	0.979	cap_ratio=0.98, oov
4938	buffy	0.998	cap_ratio=1.00, oov
4938	sasha	0.999	cap_ratio=1.00, oov
4933	kramer	0.998	cap_ratio=1.00, oov
4922	joshua	1.000	cap_ratio=1.00, oov
4904	dorothy	1.000	cap_ratio=1.00, oov
4894	sloan	0.999	cap_ratio=1.00, oov
4879	pearl	0.989	cap_ratio=0.99, oov
4871	lorenzo	0.999	cap_ratio=1.00, oov
4862	darcy	1.000	cap_ratio=1.00, oov
4851	homem-aranha	0.981	cap_ratio=0.98, oov
4843	frost	0.999	cap_ratio=1.00, oov
4825	dawson	1.000	cap_ratio=1.00, oov
4825	paulie	1.000	cap_ratio=1.00, oov
4816	bones	0.993	cap_ratio=0.99, oov
4814	sookie	0.999	cap_ratio=1.00, oov
4808	ctu	1.000	cap_ratio=1.00, oov
4803	alpha	0.936	cap_ratio=0.94, oov
4803	halloween	0.975	cap_ratio=0.98, oov
4782	erin	0.999	cap_ratio=1.00, oov
4779	lola	0.992	cap_ratio=0.99, oov
4777	dunham	1.000	cap_ratio=1.00, oov
4776	sheila	0.994	cap_ratio=0.99, oov
4743	cass	0.999	cap_ratio=1.00, oov
4742	flint	0.998	cap_ratio=1.00, oov
4736	apollo	0.983	cap_ratio=0.98, oov
4722	fort	0.994	cap_ratio=0.99, oov
4721	maston	0.993	cap_ratio=0.99, oov
4719	dwight	0.999	cap_ratio=1.00, oov
